number,prefix,specialPrefix,firstName,lastName,const_id,partyNumber,party
1,นางสาว,,ลลิดา,เพริศวิวัฒนา,กรุงเทพมหานคร-1,37,ภูมิใจไทย
2,นาง,,แสนสุข,อุทยานินทร์,กรุงเทพมหานคร-1,11,เศรษฐกิจ
3,นาย,,อัครพล,คฤหเดชรัตนา,กรุงเทพมหานคร-1,42,กล้าธรรม
4,นาย,,ธนะสิทธิ์,ล้อสุวรรณทีปต์,กรุงเทพมหานคร-1,7,พลวัต
5,นาย,,ปารเมศ,วิทยารักษ์สรรค์,กรุงเทพมหานคร-1,46,ประชาชน
6,นาย,,พลัฏฐ์,ศิริกุลพิสุทธิ์,กรุงเทพมหานคร-1,6,รวมไทยสร้างชาติ
7,นาย,,ภัทรพล,หมดมลทิน,กรุงเทพมหานคร-1,29,ไทยภักดี
8,นาย,,ญาณกิตติ์,ห่วงทรัพย์,กรุงเทพมหานคร-1,9,เพื่อไทย
9,นาย,,พีรวุฒิ,พิมพ์สมฤดี,กรุงเทพมหานคร-1,27,ประชาธิปัตย์
10,นาย,,วีรยุทธ,ประกอบการ,กรุงเทพมหานคร-1,23,ปวงชนไทย
11,นาย,,พิเชษฐ์,ไทยนิยม,กรุงเทพมหานคร-1,48,ไทยสร้างไทย
12,นาย,,แทนคุณ,จิตต์อิสระ,กรุงเทพมหานคร-1,44,โอกาสใหม่
13,นาย,,เลิศชาย,สุจริตกุล,กรุงเทพมหานคร-1,24,วิชชั่นใหม่
14,นาย,,มงคล,เสมอภาพ,กรุงเทพมหานคร-1,8,ประชาธิปไตยใหม่
15,นาย,,อดัม,ชินรัตนพิสิทธิ์,กรุงเทพมหานคร-1,35,รักชาติ
16,นาย,,กานต์,กิตติอำพน,กรุงเทพมหานคร-1,49,ไทยก้าวใหม่
17,นาย,,ประสงค์,ประสพโชค,กรุงเทพมหานคร-1,10,ทางเลือกใหม่
18,นาย,,กิตติคุณ,ชื่นแย้ม,กรุงเทพมหานคร-1,43,พลังประชารัฐ
1,นางสาว,,วรสิริ,สุพานิชวรภาชน์,กรุงเทพมหานคร-2,23,ปวงชนไทย
2,นาย,,เสกสิทธิ์,แย้มสงวนศักดิ์,กรุงเทพมหานคร-2,46,ประชาชน
3,นางสาว,,วิลาสินี,แป๊ะสมัน,กรุงเทพมหานคร-2,42,กล้าธรรม
4,นางสาว,,พัชรินทร์,ซำศิริพงษ์,กรุงเทพมหานคร-2,37,ภูมิใจไทย
5,นาย,,เดวิด,มกรพงศ์,กรุงเทพมหานคร-2,9,เพื่อไทย
6,นาย,,กรณิศ,บัวจันทร์,กรุงเทพมหานคร-2,44,โอกาสใหม่
7,นาย,,วนัส,ฮ้อแสงชัย,กรุงเทพมหานคร-2,6,รวมไทยสร้างชาติ
8,นาย,,ภูเชษฐ์,เผดิมปราชญ์,กรุงเทพมหานคร-2,48,ไทยสร้างไทย
9,นาง,,กุลธิภัสร์,ธนวีรชุติวัฒน์,กรุงเทพมหานคร-2,49,ไทยก้าวใหม่
10,นาย,,ชุติ,ปลื้มรุ่งเรือง,กรุงเทพมหานคร-2,35,รักชาติ
11,นาย,,เจษฎา,เลิศธนสาร,กรุงเทพมหานคร-2,27,ประชาธิปัตย์
12,นาย,,นิกม์,แสงศิรินาวิน,กรุงเทพมหานคร-2,43,พลังประชารัฐ
13,นาย,,กิตติธัช,สาสนะ,กรุงเทพมหานคร-2,11,เศรษฐกิจ
14,นาง,,อิสราพร,นรินทร์,กรุงเทพมหานคร-2,29,ไทยภักดี
15,นาย,,เลิศสุวัฒน์,วงศ์สุวรรณ,กรุงเทพมหานคร-2,56,เพื่อบ้านเมือง
1,นาย,,สุกฤษฏิ์ชัย,ธีระเริงฤทธิ์,กรุงเทพมหานคร-3,49,ไทยก้าวใหม่
2,นางสาว,,เพ็ญพิสุทธิ์,จินตโสภณ,กรุงเทพมหานคร-3,9,เพื่อไทย
3,นาย,,อภิมุข,ฉันทวานิช,กรุงเทพมหานคร-3,27,ประชาธิปัตย์
4,นาย,,ปรีชา,บุดดีจีน,กรุงเทพมหานคร-3,48,ไทยสร้างไทย
5,นาย,,นรุตม์ชัย,บุนนาค,กรุงเทพมหานคร-3,42,กล้าธรรม
6,นาย,,ชูชาติ,ชาญเชิงศิลปกุล,กรุงเทพมหานคร-3,11,เศรษฐกิจ
7,นาย,,ณัฐฏ์,รุ่งเรือง,กรุงเทพมหานคร-3,24,วิชชั่นใหม่
8,นาย,,ธีระพงษ์,มงคลวัฒนลีลา,กรุงเทพมหานคร-3,43,พลังประชารัฐ
9,นาย,,จรยุทธ,จตุรพรประสิทธิ์,กรุงเทพมหานคร-3,46,ประชาชน
10,นางสาว,,ดวงกมล,อดุลย์เศรณี,กรุงเทพมหานคร-3,7,พลวัต
