province,folder_owner,email_type,folder_id,folder_url,error
กรุงเทพมหานคร,bkk.ectreport@gmail.com,ect_gmail,1C1bvoAzR55wuJ6Dkt5OYWGz4ukv-F5Sl,https://drive.google.com/drive/folders/1C1bvoAzR55wuJ6Dkt5OYWGz4ukv-F5Sl,
สมุทรปราการ,spk.ectreport1@gmail.com,ect_gmail,15RY4_RDyMhgQWWmRANLg-Shh66L3Qq83,https://drive.google.com/drive/folders/15RY4_RDyMhgQWWmRANLg-Shh66L3Qq83?usp=sharing,
นนทบุรี,election.nonthaburi@gmail.com,ect_gmail,1MApGQ8YpAG1hVMOWqfKdfag3KLWYYWY5,https://drive.google.com/drive/folders/1MApGQ8YpAG1hVMOWqfKdfag3KLWYYWY5,
ปทุมธานี,ectpathumthani2569@gmail.com,ect_gmail,1bTPhst0RbMD-U9mFdxqOMzEyvOisQL6i,https://drive.google.com/drive/folders/1bTPhst0RbMD-U9mFdxqOMzEyvOisQL6i,
พระนครศรีอยุธยา,aut.ectreport@gmail.com,ect_gmail,11kxwA_elo8-IzYgFyyxplpFymLlqz3eY,https://drive.google.com/drive/folders/11kxwA_elo8-IzYgFyyxplpFymLlqz3eY?hl=th,
อ่างทอง,angthong@ect.go.th,official_ect,1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc,https://drive.google.com/drive/folders/1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc,
ลพบุรี,lri.ectreport@gmail.com,ect_gmail,1UdK2NnBS1b_g_F4NciQuCgZHAZusI370,https://drive.google.com/drive/u/1/folders/1UdK2NnBS1b_g_F4NciQuCgZHAZusI370,
สิงห์บุรี,poysudarat93@gmail.com,personal,1SXJtGFdXWj5vptFftBaXYB0DRLKpRz2J,https://drive.google.com/drive/folders/1SXJtGFdXWj5vptFftBaXYB0DRLKpRz2J,
ชัยนาท,ectchainat@gmail.com,ect_gmail,1UUm2NLLCM-2hwZ0-GyJ5FqP4-Kk2tBnx,https://drive.google.com/drive/folders/1UUm2NLLCM-2hwZ0-GyJ5FqP4-Kk2tBnx,
สระบุรี,saraburi.ectreport@gmail.com,ect_gmail,1kjiOI6K37nvx8zDC0TRX-97JyOGY6SSu,https://drive.google.com/drive/folders/1kjiOI6K37nvx8zDC0TRX-97JyOGY6SSu,
ชลบุรี,electionchon@gmail.com,ect_gmail,1tkp9vLv2nUSlECM4e9WnobfBr8RyTBzT,https://drive.google.com/drive/folders/1tkp9vLv2nUSlECM4e9WnobfBr8RyTBzT,
ระยอง,rayongectreport@gmail.com,ect_gmail,1uBC1GjNS_kmgemnO8HPZHO43oeNu1t1U,https://drive.google.com/drive/folders/1uBC1GjNS_kmgemnO8HPZHO43oeNu1t1U,
จันทบุรี,cti.ectreport69@gmail.com,ect_gmail,15oWc6hB8XVJ4ku-fsCUQl7DI0bBOzl-a,https://drive.google.com/drive/folders/15oWc6hB8XVJ4ku-fsCUQl7DI0bBOzl-a,
ตราด,tratect8feb@gmail.com,ect_gmail,1XLFjavED1BW_AG4xBDh5BfI6VQHv30_x,https://drive.google.com/drive/folders/1XLFjavED1BW_AG4xBDh5BfI6VQHv30_x,
ฉะเชิงเทรา,chachengsaoectreport@gmail.com,ect_gmail,1lHFX-tgeHOqAOSPIrkKx8-uIr9RZFIUB,https://drive.google.com/drive/folders/1lHFX-tgeHOqAOSPIrkKx8-uIr9RZFIUB,
ปราจีนบุรี,tey.ect.go.th@gmail.com,ect_gmail,1GnQ8lFpzfnpuy83KItOp5X5uqYsz1Wit,https://drive.google.com/drive/folders/1GnQ8lFpzfnpuy83KItOp5X5uqYsz1Wit,
นครนายก,ect.nakhonnayok@gmail.com,ect_gmail,1P_419iJaH_wsCuKhOJXf0BpbbZ8CCxNG,https://drive.google.com/drive/folders/1P_419iJaH_wsCuKhOJXf0BpbbZ8CCxNG,
สระแก้ว,skw.ectreport@gmail.com,ect_gmail,1JHP61jJf4ivKliXvS5kqZsAPz93lwujk,https://drive.google.com/drive/folders/1JHP61jJf4ivKliXvS5kqZsAPz93lwujk,
นครราชสีมา,nma.ectreport3@gmail.com,ect_gmail,1VUAH6skupn_Y1Kbfm5C6WYQSmSqsESNf,https://drive.google.com/drive/folders/1VUAH6skupn_Y1Kbfm5C6WYQSmSqsESNf,
บุรีรัมย์,program.etc.br@gmail.com,personal,1oPGf30Fo3_wELh5PpQibP24SXTVqga3q,https://drive.google.com/drive/folders/1oPGf30Fo3_wELh5PpQibP24SXTVqga3q,
สุรินทร์,srn.ectreport@gmail.com,ect_gmail,1CYvOxPmnWfImGLJyv5Nktx7R6uR7VV6j,https://drive.google.com/drive/u/0/folders/1CYvOxPmnWfImGLJyv5Nktx7R6uR7VV6j?sort=13&direction=a,
ศรีสะเกษ,ect.ssk@gmail.com,ect_gmail,14nCxcHcskvph2eBenG03XFAElTidJMZW,https://drive.google.com/drive/folders/14nCxcHcskvph2eBenG03XFAElTidJMZW,
อุบลราชธานี,ubn.ectreport@gmail.com,ect_gmail,1Nb7hJtDRoQy8VVR_cOfYhF7BHidRcuIH,https://drive.google.com/drive/folders/1Nb7hJtDRoQy8VVR_cOfYhF7BHidRcuIH,
ยโสธร,yst.ectreport2@gmail.com,ect_gmail,1eMX1g22UePTyLFRS3-GYQ-HSRyDC-_tm,https://drive.google.com/drive/folders/1eMX1g22UePTyLFRS3-GYQ-HSRyDC-_tm,
ชัยภูมิ,ect.cyp36000@gmail.com,ect_gmail,11OAVEt8A7SfQLv9uPi9O-gLk37i_3CSI,https://drive.google.com/drive/folders/11OAVEt8A7SfQLv9uPi9O-gLk37i_3CSI,
อำนาจเจริญ,amnatreport@gmail.com,personal,14wkHdjHrTufhVFGsSY6rGT8Pst9HnjVu,https://drive.google.com/drive/folders/14wkHdjHrTufhVFGsSY6rGT8Pst9HnjVu,
บึงกาฬ,bkn77.ectreport@gmail.com,ect_gmail,1KR8FtPU5ZSlQvIS-YAAdYzHALbYb-0fr,https://drive.google.com/drive/folders/1KR8FtPU5ZSlQvIS-YAAdYzHALbYb-0fr,
หนองบัวลำภู,ect.nongbua0002@gmail.com,ect_gmail,1JreB6tOF2w_8QkYActCc4182GBaEUH2u,https://drive.google.com/drive/folders/1JreB6tOF2w_8QkYActCc4182GBaEUH2u,
ขอนแก่น,kkn.ectreport@gmail.com,ect_gmail,1A89Hil8Yu_cFlU-FPY6FLfevaqOEg5IC,https://drive.google.com/drive/folders/1A89Hil8Yu_cFlU-FPY6FLfevaqOEg5IC,
อุดรธานี,udonthani.ect@gmail.com,ect_gmail,1picxYRg1bxW0QJyrTGG9zEV762sY--Kz,https://drive.google.com/drive/u/0/folders/1picxYRg1bxW0QJyrTGG9zEV762sY--Kz,
เลย,loe.ectreport@gmail.com,ect_gmail,1_MBbOA5r_HG5PA8dY8tzckP0nEzPPZcs,https://drive.google.com/drive/folders/1_MBbOA5r_HG5PA8dY8tzckP0nEzPPZcs,
หนองคาย,nki.ectreport@gmail.com,ect_gmail,1pgb4CNpWnsS7t487PHavovUYYmO0VzlJ,https://drive.google.com/drive/folders/1pgb4CNpWnsS7t487PHavovUYYmO0VzlJ,
มหาสารคาม,mkm.ectreport@gmail.com,ect_gmail,1OLW1YTKxj4kTnxHYf0EdwZGKcE5Seojz,https://drive.google.com/drive/folders/1OLW1YTKxj4kTnxHYf0EdwZGKcE5Seojz,
ร้อยเอ็ด,ectroiet@gmail.com,ect_gmail,1IRJHtBr1ohWfrotTcTbM_Ta39vSlkLkD,https://drive.google.com/drive/folders/1IRJHtBr1ohWfrotTcTbM_Ta39vSlkLkD,
