province,region,constituencies,folder_id,file_count,total_bytes,total_human,per_constituency_bytes,anomalies,error
กรุงเทพมหานคร,ภาคกลาง,33,1C1bvoAzR55wuJ6Dkt5OYWGz4ukv-F5Sl,6270,28015112148,26.09 GB,848942792,,
อุบลราชธานี,ภาคอีสาน,11,1Nb7hJtDRoQy8VVR_cOfYhF7BHidRcuIH,6748,23572967086,21.95 GB,2142997007,,
บุรีรัมย์,ภาคอีสาน,10,1oPGf30Fo3_wELh5PpQibP24SXTVqga3q,5570,21394506374,19.93 GB,2139450637,,
มหาสารคาม,ภาคอีสาน,6,1OLW1YTKxj4kTnxHYf0EdwZGKcE5Seojz,3632,16590186330,15.45 GB,2765031055,,
สุรินทร์,ภาคอีสาน,8,1CYvOxPmnWfImGLJyv5Nktx7R6uR7VV6j,4716,15783983195,14.70 GB,1972997899,,
สมุทรปราการ,ภาคกลาง,8,15RY4_RDyMhgQWWmRANLg-Shh66L3Qq83,4226,15316664815,14.26 GB,1914583101,,
บึงกาฬ,ภาคอีสาน,3,1KR8FtPU5ZSlQvIS-YAAdYzHALbYb-0fr,345,14929562132,13.90 GB,4976520710,size_outlier,
ขอนแก่น,ภาคอีสาน,11,1A89Hil8Yu_cFlU-FPY6FLfevaqOEg5IC,2438,14260550769,13.28 GB,1296413706,,
เพชรบูรณ์,ภาคเหนือ,6,11xsNcsLAmjIIpBZu48FdjBFMerqQjNAQ,1267,10819341746,10.08 GB,1803223624,,
ยโสธร,ภาคอีสาน,3,1eMX1g22UePTyLFRS3-GYQ-HSRyDC-_tm,4404,10729286404,9.99 GB,3576428801,size_outlier,
เลย,ภาคอีสาน,4,1_MBbOA5r_HG5PA8dY8tzckP0nEzPPZcs,5037,10610993940,9.88 GB,2652748485,,
นครศรีธรรมราช,ภาคใต้,9,1Sn2_mAtcns6Q-Rn8QjlYdIYqvbiNt7DB,3972,10492849348,9.77 GB,1165872149,,
อำนาจเจริญ,ภาคอีสาน,2,14wkHdjHrTufhVFGsSY6rGT8Pst9HnjVu,1426,10402527449,9.69 GB,5201263724,size_outlier,
กาฬสินธุ์,ภาคอีสาน,6,1nRvDR4BWnW0j4DmeS4owe6Pb0iiUrudv,1726,9724462931,9.06 GB,1620743821,,
เชียงใหม่,ภาคเหนือ,10,1RWvYL-2KyyyCKGjF6qj39qKkpUjI6oML,4191,9332513221,8.69 GB,933251322,,
พะเยา,ภาคเหนือ,3,1e_3_iZiijJIUxY20L55tZYW4AAXTnezQ,2072,9040464133,8.42 GB,3013488044,,
สงขลา,ภาคใต้,9,1smYf3sOszd3onwYx-q1JthQ5_6bDgAjs,4468,8757803815,8.16 GB,973089312,,
ปราจีนบุรี,ภาคตะวันออก,3,1GnQ8lFpzfnpuy83KItOp5X5uqYsz1Wit,4360,7848481054,7.31 GB,2616160351,,
สุราษฎร์ธานี,ภาคใต้,7,17P3jpRHAFCOlZOoo_z_XQRwqt34Ocd9P,3045,7749856779,7.22 GB,1107122397,,
ศรีสะเกษ,ภาคอีสาน,9,14nCxcHcskvph2eBenG03XFAElTidJMZW,1733,7627884952,7.10 GB,847542772,,
นครสวรรค์,ภาคเหนือ,6,1EE6JUZARf71n4j9UZyIkf82TquHgWUe0,3219,7556114110,7.04 GB,1259352351,,
สระแก้ว,ภาคตะวันออก,3,1JHP61jJf4ivKliXvS5kqZsAPz93lwujk,1783,7455039135,6.94 GB,2485013045,,
สระบุรี,ภาคกลาง,4,1kjiOI6K37nvx8zDC0TRX-97JyOGY6SSu,1823,7258182345,6.76 GB,1814545586,,
นนทบุรี,ภาคกลาง,8,1MApGQ8YpAG1hVMOWqfKdfag3KLWYYWY5,2892,6743169584,6.28 GB,842896198,,
หนองคาย,ภาคอีสาน,3,1pgb4CNpWnsS7t487PHavovUYYmO0VzlJ,832,6696083801,6.24 GB,2232027933,,
จันทบุรี,ภาคตะวันออก,3,15oWc6hB8XVJ4ku-fsCUQl7DI0bBOzl-a,1769,6484551901,6.04 GB,2161517300,,
ชัยภูมิ,ภาคอีสาน,7,11OAVEt8A7SfQLv9uPi9O-gLk37i_3CSI,246,6251644887,5.82 GB,893092126,,
ปทุมธานี,ภาคกลาง,8,1bTPhst0RbMD-U9mFdxqOMzEyvOisQL6i,2275,6028314748,5.61 GB,753539343,,
ชลบุรี,ภาคตะวันออก,10,1tkp9vLv2nUSlECM4e9WnobfBr8RyTBzT,2200,5914326395,5.51 GB,591432639,,
กาญจนบุรี,ภาคตะวันตก,5,1h98dubKjCGNWqajx-KZx-bXlACzg6B4X,2201,5845824320,5.44 GB,1169164864,,
ลำปาง,ภาคเหนือ,4,153yUnWv_2EWXSAbtsTTBE-wQYn9-6yXA,848,5736516066,5.34 GB,1434129016,,
พิจิตร,ภาคเหนือ,3,1At01M8EipiffkqpTRT2uln5FTcA-Mktj,1891,5730701292,5.34 GB,1910233764,,
